,Source,Target
2897,PLDT,Rocket Internet
2921,Pattern,Route
2938,Endeavor,Latitud
2949,Google,JD.com
2971,Meta,Reliance Jio
2992,SAP,LinkedIn
2997,Digital Currency Group,Protocol Labs
3020,FundersClub,Paragon
3025,Earlybird Venture Capital,Payhawk
3031,BC Partners,IMA Group
3033,Bossa Nova Investimentos,Hack VC
3036,National Black Bank Foundation,Major League Soccer
3040,500 Startups,Innovaccer
3049,500 Startups,Revolution
3057,Tencent,Hike
3074,October,JCDecaux
3080,GoBeyond,Kae Capital
3125,Stripe,Fast
3130,Berkshire Hathaway,Apple
3145,Silver Lake,Genies
3155,Ubisoft,Animoca Brands
3160,Zomato,blinkit
3175,Lenovo,CertiK
3189,SoftBank,Bambee
3204,Mogo,Gemini
3218,SoftBank,Eight Sleep
3223,Community Investment Management,Camino Financial
3243,Tencent,Flipkart
3258,Arca,Galaxy Digital
3278,Liquidity,eToro
3295,Comcast,Blockdaemon
3305,Endeavor,2TM
3311,Tencent,Epic Games
3321,Crowdcube,Crowdcube
3343,Aavishkaar Venture Capital,Financepeer
3368,8VC,Airbyte
3373,Clearco,Cart.com
3378,OfBusiness,FarMart
3410,Rakuten,Careem
3420,500 Startups,GitLab
3439,Tencent,Airwallex
3449,Digital Currency Group,CoinList
3479,Silver Lake,Fanatics
3490,8VC,Forethought
3495,SoftBank,Darktrace
3520,Microsoft,DocuSign
3547,Google,Cloudflare
3552,Galaxy Digital,Ava Labs
3572,2TM,Figment
3579,8VC,Clearco
3584,Crowdcube,FIDEL API
3594,Orange,Deezer
3611,Eurazeo,Avi Medical
3616,Boost VC,21Shares
3621,Zoom,Genesys
3627,Aavishkaar Venture Capital,AgroStar
3657,Niantic,DigiLens
3667,Citi,Capitolis
3672,Endeavor,Dolado
3687,Delivery Hero,Foodpanda
3692,Silver Lake,Clari
3702,Techstars,Alloy
3722,Silver Lake,GoDaddy
3731,Lyft,Argo AI
3734,Youth Business International,Accenture
3735,Techstars,DigitalOcean
3750,500 Startups,CircleCI
3770,Moglix,Euler Motors
3788,500 Startups,FinAccel
3803,Sedgwick Claims Management Services,EvolutionIQ
3813,Tencent,CICC
3815,K2,Fyllo
3834,Tencent,Afterpay
3837,Wintermute Trading,Bitpanda
3842,500 Startups,Goldbelly
3847,LetsVenture,BluSmart Mobility
3862,H.I.G. Capital,Cuyana
